Age(eg.21),Gender,Occupation,What is your personal monthly income?  ,Where do you reside? ,Do you use UPI for transactions?  ,What are your reasons for not using UPI? (Select all that apply)  ,How often do you use UPI for transactions? ,Which UPI app have you been primarily using for the past 6 months?  ,"Do you use any other UPI apps for transactions besides your primary UPI app? If yes, please specify  ","How satisfied are you with the following features of your UPI app?   [Transaction Speed	]","How satisfied are you with the following features of your UPI app?   [Bill Payment	]","How satisfied are you with the following features of your UPI app?   [Payment Reminders	]","How satisfied are you with the following features of your UPI app?   [User Interface	]",How satisfied are you with the following features of your UPI app?   [Security Features],How satisfied are you with the following features of your UPI app?   [Coverage (Merchant & Bank Support)],What types of transactions do you use your UPI app for? (Select frequency for each type) [Peer-to-peer transfers],"What types of transactions do you use your UPI app for? (Select frequency for each type) [Bill payments(e.g., electricity, water, gas, broadband)]",What types of transactions do you use your UPI app for? (Select frequency for each type) [Mobile recharges and DTH payments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Online shopping],"What types of transactions do you use your UPI app for? (Select frequency for each type) [Ticket bookings (movies, flights, etc.)]","What types of transactions do you use your UPI app for? (Select frequency for each type) [Government-related payments (taxes, fines, etc.)]",What types of transactions do you use your UPI app for? (Select frequency for each type) [Offline merchant payments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Loan or EMI Repayments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Donations],What type of rewards or cashback offers do you find most attractive?  (Multiple choices),Which payment method do you use the most besides your UPI app? ,What factors influence your choice of UPI app? (Rate the importance of each factor) [Transaction speed],What factors influence your choice of UPI app? (Rate the importance of each factor) [Security & Fraud Protection],What factors influence your choice of UPI app? (Rate the importance of each factor) [Cashback/Rewards],What factors influence your choice of UPI app? (Rate the importance of each factor) [Ease of use],What factors influence your choice of UPI app? (Rate the importance of each factor) [Transaction limits (maximum transaction amount allowed)],What factors influence your choice of UPI app? (Rate the importance of each factor) [24/7 Customer Support Availability],"What factors influence your choice of UPI app? (Rate the importance of each factor) [Payment Reminder Feature (Bills, Subscriptions, EMI, Rent, etc.)]",What factors influence your choice of UPI app? (Rate the importance of each factor) [User interface & experience],What factors influence your choice of UPI app? (Rate the importance of each factor) [Ease of linking bank accounts],Have you ever hesitated to make a large transaction using UPI due to security concerns?  ,What challenges do you face while using UPI apps?    ,"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Dependency on cash/cards	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Frequency of digital transactions],"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Ability to track expenses	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Bill Payments & Subscription Management],"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Savings habits	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Impulse buying behavior],How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Payment convenience at small/local merchant],"Do you use your UPI app for business-related transactions (e.g., receiving payments from clients)? ",How often do you use UPI apps for payments at small/local merchants? ,How satisfied are you with your primary UPI app overall ? ,Would you recommend your UPI app to others ?
21,Female,Student,"Below ₹20,000",Semi urban,Yes,,Weekly,Google Pay,"No, I only use my primary UPI app",Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Monthly,Monthly,Monthly,Weekly,Monthly,Monthly,Monthly,Monthly,Monthly,Referral bonuses for inviting friends,Cash,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,No,Transaction Failures,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Yes,Frequently,4,8
22,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay;PhonePe,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Daily,Monthly,Monthly,Rarely,Rarely,Monthly,Weekly,Rarely,Rarely,Cashbacks on transaction amounts;Special discounts on partner merchant stores,Cash,Slightly Important,Important,Moderately Important,Important,Moderately Important,Important,Slightly Important,Moderately Important,Moderately Important,No,Technical Glitches;Transaction Failures,Moderately Declined,No Change,Moderately Increased,No Change,Moderately Increased,Significantly Increased,No Change,Yes,Frequently,4,9
22,Female,Student,"₹50,000 - ₹1,00,000",Semi urban,Yes,,Daily,Google Pay,Google Pay,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Daily,Never,Monthly,Weekly,Rarely,Never,Monthly,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Important,Moderately Important,Very Important,Important,Important,Moderately Important,Important,Important,Yes,Technical Glitches;Transaction Failures,Moderately Increased,Moderately Increased,Significantly Increased,Moderately Increased,No Change,Moderately Increased,Significantly Increased,No,Frequently,4,9
22,Female,Student,"Below ₹20,000",Urban,Yes,,Weekly,PhonePe,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Weekly,Never,Never,Monthly,Rarely,Monthly,Never,Monthly,Never,Discounts on bills and recharges,Cash,Very Important,Very Important,Moderately Important,Moderately Important,Very Important,Important,Very Important,Important,Very Important,No,Transaction Failures;Lack of Awareness,Significantly Increased,Moderately Increased,Moderately Increased,Moderately Increased,Significantly Increased,Moderately Increased,Moderately Increased,Yes,Frequently,5,9
22,Male,Student,"Below ₹20,000",Urban,Yes,,Weekly,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Neutral,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Weekly,Never,Monthly,Rarely,Never,Never,Monthly,Never,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Very Important,Not Important,Very Important,Slightly Important,Very Important,Important,No,Transaction Failures,Moderately Declined,Significantly Increased,No Change,Moderately Declined,Moderately Declined,No Change,Moderately Increased,Yes,Occasionally,4,8
21,Male,Student,"₹50,000 - ₹1,00,000",Urban,No,Family doesn't allow me to use right now ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Female,Student,"Below ₹20,000",Urban,Yes,,Monthly,Google Pay,PhonePe,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Monthly,Never,Rarely,Monthly,Weekly,Never,Monthly,Never,Never,Discounts on bills and recharges;Special discounts on partner merchant stores,Debit card,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Transaction Failures;Lack of Awareness,Moderately Increased,Significantly Increased,Moderately Increased,No Change,Significantly Increased,Significantly Increased,Significantly Increased,No,Frequently,5,10
22,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,Paytm,Google Pay,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Rarely,Rarely,Monthly,Rarely,Weekly,Never,Never,Never,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Moderately Important,Very Important,Not Important,Moderately Important,Moderately Important,Important,Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly Increased,Significantly Increased,Significantly Increased,Moderately Increased,No Change,Moderately Declined,No,Rarely,4,9
35,Male,Business Owner,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,Google Pay,BHIM UPI,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Daily,Monthly,Monthly,Rarely,Never,Never,Daily,Never,Never,Cashbacks on transaction amounts,Debit card,Very Important,Very Important,Important,Important,Important,Very Important,Very Important,Important,Important,Yes,Lack of Awareness,Significantly  Declined,Significantly Increased,Significantly Increased,Moderately Increased,Significantly  Declined,Significantly Increased,Moderately Increased,Yes,Frequently,4,10
33,Female,Other,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Weekly,Never,Monthly,Weekly,Never,Never,Weekly,Never,Never,Discounts on bills and recharges,Cash,Important,Very Important,Important,Important,Important,Important,Important,Important,Important,No,Transaction Failures,Significantly  Declined,Moderately Increased,Significantly Increased,Moderately Increased,Significantly  Declined,Significantly Increased,Significantly Increased,No,Frequently,4,5
47,Male,Salaried Professional,"₹20,000 - ₹50,000",Semi urban,Yes,,Rarely,Other,"No, I only use my primary UPI app",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Never,Rarely,Monthly,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges,Net banking,Important,Important,Important,Important,Important,Important,Important,Important,Important,No,Other,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,No,Occasionally,3,4
22,Male,Student,"Below ₹20,000",Urban,No,Security concerns;Prefer cash transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Female,Student,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,PhonePe,PhonePe,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Weekly,Rarely,Rarely,Monthly,Rarely,Rarely,Rarely,Never,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Important,Important,Moderately Important,Important,Important,Moderately Important,Important,Moderately Important,Important,Yes,Technical Glitches;Security Concerns,Moderately Increased,Moderately Increased,Moderately Increased,No Change,Moderately Increased,No Change,Moderately Increased,No,Occasionally,4,8
22,Male,Student,"Below ₹20,000",Urban,Yes,,Weekly,Google Pay,Google Pay;PhonePe,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Monthly,Rarely,Monthly,Rarely,Rarely,Never,Never,Monthly,Never,Cashbacks on transaction amounts;Referral bonuses for inviting friends,Cash,Very Important,Very Important,Moderately Important,Important,Important,Important,Moderately Important,Important,Very Important,No,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly Increased,Significantly Increased,No Change,Moderately Declined,No Change,Significantly Increased,No,Occasionally,4,8
24,Male,Student,"Below ₹20,000",Semi urban,Yes,,Daily,Google Pay,PhonePe;Amazon Pay,Very Satisfied,Very Satisfied,Very Dissatisfied,Satisfied,Satisfied,Very Satisfied,Weekly,Monthly,Monthly,Monthly,Monthly,Monthly,Weekly,Monthly,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Debit card,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Transaction Failures;Security Concerns,Significantly  Declined,Significantly Increased,Moderately Increased,Significantly Increased,No Change,Moderately Increased,Significantly Increased,Yes,Frequently,5,10
23,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Paytm,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Monthly,Monthly,Monthly,Rarely,Never,Weekly,Never,Never,Never,Cashbacks on transaction amounts,Cash,Important,Important,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,No,Technical Glitches;Transaction Failures,Moderately Declined,No Change,No Change,No Change,Significantly  Declined,Significantly  Declined,No Change,No,Frequently,5,9
22,Male,Student,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Monthly,Monthly,Rarely,Rarely,Rarely,Monthly,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Debit card,Very Important,Very Important,Moderately Important,Very Important,Very Important,Important,Moderately Important,Very Important,Very Important,No,Technical Glitches;Transaction Failures,Moderately Declined,Significantly Increased,Moderately Declined,No Change,Moderately Declined,Moderately Increased,Significantly Increased,Yes,Frequently,5,8
22,Female,Student,"Below ₹20,000",Semi urban,No,Prefer cash transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Female,Student,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,Google Pay,PhonePe,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Monthly,Never,Rarely,Weekly,Monthly,Never,Daily,Never,Rarely,Cashbacks on transaction amounts,Cash,Important,Important,Moderately Important,Important,Important,Important,Moderately Important,Moderately Important,Important,Yes,Technical Glitches;Transaction Failures;Security Concerns,Moderately Declined,Moderately Increased,No Change,Moderately Increased,No Change,Moderately Increased,Moderately Increased,No,Frequently,4,8
23,Male,Student,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,Google Pay,PhonePe,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Daily,Rarely,Monthly,Rarely,Rarely,Rarely,Weekly,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Exclusive offers on financial products,Cash,Very Important,Very Important,Very Important,Important,Important,Very Important,Moderately Important,Important,Very Important,No,Technical Glitches;Transaction Failures,Significantly  Declined,Moderately Declined,Significantly Increased,No Change,No Change,No Change,Significantly Increased,No,Frequently,4,9
22,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,Google Pay,Satisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Weekly,Weekly,Weekly,Weekly,Monthly,Rarely,Monthly,Weekly,Rarely,Cashbacks on transaction amounts,Cash,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Yes,Technical Glitches;Transaction Failures,Moderately Declined,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,No Change,Moderately Increased,No,Occasionally,4,7
19,Female,Student,"Below ₹20,000",Semi urban,Yes,,Weekly,Google Pay,Google Pay,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Never,Rarely,Monthly,Never,Never,Never,Never,Never,Cashbacks on transaction amounts,Cash,Important,Very Important,Moderately Important,Important,Important,Important,Moderately Important,Moderately Important,Important,No,Other,Moderately Declined,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Declined,No Change,No,Frequently,4,8
21,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay;BHIM UPI,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Daily,Monthly,Rarely,Monthly,Monthly,Rarely,Rarely,Monthly,Rarely,Cashbacks on transaction amounts;Exclusive offers on financial products,Cash,Moderately Important,Slightly Important,Moderately Important,Important,Moderately Important,Very Important,Very Important,Important,Very Important,Yes,Technical Glitches;Transaction Failures,Significantly Increased,Significantly Increased,Moderately Declined,No Change,Significantly  Declined,Significantly Increased,Significantly Increased,Yes,Frequently,4,8
24,Male,Salaried Professional,"₹20,000 - ₹50,000",Rural,Yes,,Daily,Google Pay,PhonePe,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Daily,Monthly,Monthly,Rarely,Rarely,Rarely,Daily,Rarely,Rarely,Special discounts on partner merchant stores,Cash,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Other,Significantly  Declined,Significantly Increased,Significantly Increased,Significantly Increased,Moderately Declined,Moderately Increased,Significantly Increased,Yes,Frequently,4,10
24,Female,Student,"Below ₹20,000",Urban,No,Prefer cash transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Female,Salaried Professional,"Below ₹20,000",Urban,Yes,,Weekly,PhonePe,Google Pay,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Monthly,Monthly,Weekly,Weekly,Daily,Weekly,Weekly,Monthly,Monthly,Referral bonuses for inviting friends,Credit card,Slightly Important,Slightly Important,Not Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,Slightly Important,No,Security Concerns,Moderately Declined,Moderately Declined,Significantly  Declined,Moderately Declined,Moderately Declined,Moderately Declined,Significantly  Declined,Yes,Frequently,4,8
24,Female,Other,"Below ₹20,000",Semi urban,Yes,,Weekly,Google Pay,Google Pay,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Monthly,Monthly,Never,Rarely,Rarely,Rarely,Never,Never,Rarely,Exclusive offers on financial products,Net banking,Important,Important,Important,Important,Important,Important,Important,Important,Important,Yes,Transaction Failures,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Moderately Increased,Moderately Increased,No,Rarely,3,3
25,Female,Salaried Professional,"Below ₹20,000",Rural,Yes,,Daily,Google Pay,PhonePe;BHIM UPI,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Cashbacks on transaction amounts;Discounts on bills and recharges,Net banking,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Security Concerns,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Yes,Frequently,5,10
23,Male,Student,"Below ₹20,000",Rural,Yes,,Daily,Google Pay,PhonePe,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Neutral,Neutral,Daily,Monthly,Rarely,Rarely,Rarely,Rarely,Rarely,Monthly,Never,Special discounts on partner merchant stores,Debit card,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Transaction Failures,Significantly  Declined,Significantly Increased,No Change,No Change,No Change,Significantly Increased,Significantly Increased,Yes,Frequently,5,10
22,Female,Student,"Below ₹20,000",Semi urban,Yes,,Daily,Google Pay,Google Pay,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Weekly,Monthly,Daily,Weekly,Monthly,Monthly,Daily,Monthly,Monthly,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Important,Important,Important,Moderately Important,Important,Important,Moderately Important,Important,Important,Yes,Technical Glitches;Transaction Failures,Moderately Increased,Moderately Declined,Significantly  Declined,Moderately Declined,Moderately Increased,Moderately Increased,No Change,Yes,Frequently,3,9
23,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,PhonePe,Google Pay,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Daily,Monthly,Monthly,Weekly,Monthly,Rarely,Rarely,Monthly,Monthly,Cashbacks on transaction amounts,Debit card,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,No,Technical Glitches,No Change,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Yes,Frequently,4,9
21,Male,Student,"Below ₹20,000",Semi urban,No,Prefer cash transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Female,Student,"Below ₹20,000",Semi urban,Yes,,Weekly,Paytm,Google Pay;PhonePe,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Weekly,Monthly,Monthly,Never,Never,Never,Never,Rarely,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Slightly Important,Very Important,Moderately Important,Very Important,Important,Important,Very Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly Increased,Significantly  Declined,Moderately Increased,Significantly  Declined,Significantly Increased,No Change,No,Rarely,4,9
19,Female,Student,"Below ₹20,000",Urban,Yes,,Weekly,Google Pay,Google Pay,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Weekly,Monthly,Monthly,Rarely,Rarely,Never,Never,Never,Never,Cashbacks on transaction amounts,Debit card,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Important,Very Important,No,Technical Glitches,Moderately Declined,Moderately Increased,Moderately Declined,Moderately Increased,Significantly Increased,No Change,No Change,Yes,Rarely,4,4
26,Male,Salaried Professional,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,Other,Google Pay;Paytm;Amazon Pay,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Never,Monthly,Monthly,Rarely,Rarely,Rarely,Rarely,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Special discounts on partner merchant stores,Cash,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Moderately Important,Very Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly Increased,Moderately Declined,Significantly Increased,Significantly  Declined,Significantly Increased,Significantly Increased,No,Frequently,5,8
22,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay;PhonePe;Paytm;Amazon Pay;BHIM UPI,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Daily,Weekly,Weekly,Weekly,Weekly,Daily,Weekly,Weekly,Monthly,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Moderately Declined,Moderately Declined,Significantly  Declined,Moderately Declined,Significantly  Declined,Moderately Declined,Yes,Frequently,3,5
50,Male,Freelancer/Gig Worker,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,Paytm,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Daily,Monthly,Rarely,Daily,Rarely,Rarely,Daily,Never,Never,Cashbacks on transaction amounts,Credit card,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Yes,Technical Glitches,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,No Change,No Change,No Change,Yes,Frequently,5,8
28,Male,Salaried Professional,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,Google Pay,Google Pay,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Rarely,Monthly,Monthly,Rarely,Rarely,Rarely,Never,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Referral bonuses for inviting friends;Special discounts on partner merchant stores,Debit card,Very Important,Very Important,Not Important,Important,Slightly Important,Very Important,Slightly Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures,Moderately Increased,Significantly Increased,Moderately Increased,Significantly Increased,Moderately Increased,Significantly Increased,Moderately Increased,Yes,Frequently,4,9
22,Male,Student,"Below ₹20,000",Urban,No,Security concerns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,BHIM UPI,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Daily,Monthly,Monthly,Monthly,Monthly,Rarely,Weekly,Rarely,Rarely,Discounts on bills and recharges;Special discounts on partner merchant stores;Exclusive offers on financial products,Cash,Very Important,Very Important,Moderately Important,Very Important,Moderately Important,Moderately Important,Very Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly Increased,Significantly  Declined,Moderately Increased,Moderately Declined,Moderately Increased,Significantly Increased,Yes,Frequently,4,9
25,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,PhonePe,Google Pay;PhonePe,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Daily,Weekly,Weekly,Weekly,Rarely,Weekly,Weekly,Weekly,Cashbacks on transaction amounts,Credit card,Slightly Important,Not Important,Very Important,Very Important,Very Important,Not Important,Important,Very Important,Important,Yes,Lack of Awareness,Moderately Declined,Moderately Increased,No Change,No Change,Moderately Increased,Moderately Declined,Significantly  Declined,No,Occasionally,2,4
22,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Paytm,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Never,Monthly,Daily,Daily,Monthly,Never,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Debit card,Moderately Important,Important,Important,Very Important,Slightly Important,Very Important,Very Important,Important,Very Important,Yes,Transaction Failures;Security Concerns,Moderately Declined,Moderately Declined,No Change,Moderately Declined,Significantly  Declined,Moderately Declined,Significantly  Declined,Yes,Frequently,1,2
19,Female,Student,"Below ₹20,000",Urban,Yes,,Weekly,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Cashbacks on transaction amounts;Discounts on bills and recharges,Net banking,Very Important,Very Important,Important,Very Important,Important,Very Important,Important,Important,Very Important,Yes,Other,Moderately Increased,Significantly Increased,No Change,Significantly Increased,Significantly  Declined,Significantly Increased,Significantly Increased,No,Frequently,5,10
23,Female,Salaried Professional,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Never,Rarely,Monthly,Monthly,Monthly,Rarely,Rarely,Monthly,Rarely,Cashbacks on transaction amounts,Net banking,Important,Very Important,Very Important,Important,Moderately Important,Very Important,Important,Important,Important,Yes,Transaction Failures,Moderately Increased,Significantly Increased,Moderately Increased,Moderately Increased,No Change,No Change,Moderately Declined,No,Rarely,3,9
22,Female,Salaried Professional,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay,Very Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Weekly,Weekly,Weekly,Monthly,Weekly,Weekly,Weekly,Weekly,Weekly,Special discounts on partner merchant stores,Debit card,Not Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,Slightly Important,Slightly Important,Yes,Technical Glitches,Significantly  Declined,Moderately Declined,Moderately Declined,Moderately Declined,Moderately Declined,Moderately Declined,Moderately Declined,Yes,Frequently,2,2
21,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Paytm,Google Pay,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Daily,Monthly,Never,Rarely,Monthly,Rarely,Monthly,Rarely,Rarely,Cashbacks on transaction amounts;Referral bonuses for inviting friends,Net banking,Moderately Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Transaction Failures;Security Concerns,Moderately Increased,Moderately Increased,Significantly Increased,Significantly Increased,Moderately Increased,Significantly Increased,Significantly Increased,Yes,Frequently,4,8
24,Male,Student,"Below ₹20,000",Rural,Yes,,Daily,Paytm,Google Pay,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Daily,Rarely,Monthly,Monthly,Rarely,Rarely,Weekly,Weekly,Monthly,Exclusive offers on financial products,Net banking,Important,Important,Slightly Important,Very Important,Moderately Important,Very Important,Important,Important,Very Important,Yes,Technical Glitches;Transaction Failures,Moderately Declined,Significantly  Declined,Moderately Declined,Moderately Declined,Significantly  Declined,Moderately Declined,Moderately Declined,Yes,Frequently,4,8
21,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,Paytm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Never,Never,Never,Never,Never,Never,Never,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Exclusive offers on financial products,Debit card,Important,Important,Important,Important,Important,Important,Important,Important,Important,No,Technical Glitches;Transaction Failures;Other,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No,Frequently,4,9
